McNeillID	RecapID	delT	SCL	delL	ChascoID	
865	1	0	66.3	0	148
865	2	290	66.9	0.6	148
865	3	385	68.6	1.7	148
865	4	102	69.5	0.9	148
866	1	0	50.2	0	149
866	2	38	50.4	0.2	149
866	3	60	51.1	0.7	149
869	1	0	70.8	0	150
869	2	52	71.2	0.4	150
869	3	333	72.5	1.3	150
869	4	1153	78.9	6.4	150
872	1	0	59.5	0	151
872	2	875	60.6	1.1	151
872	3	7	60.3	-0.3	151
874	1	0	67.2	0	152
874	2	63	67.5	0.3	152
876	1	0	63.2	0	153
876	2	721	63.5	0.3	153
876	3	147	64.2	0.7	153
876	4	326	66.9	2.7	153
879	1	0	59.1	0	154
879	2	122	59.6	0.5	154
879	3	207	59.3	-0.3	154
879	4	42	59.8	0.5	154
879	5	1184	69	9.2	154
880	1	0	73.6	0	155
880	2	1471	77.4	3.8	155
884	1	0	64.4	0	156
884	2	35	64.2	-0.2	156
885	1	0	64.7	0	157
885	2	70	64	-0.7	157
885	3	1730	74.1	10.1	157
888	1	0	57.5	0	158
888	2	2884	76.5	19	158
890	1	0	66.4	0	159
890	2	3	66.4	0	159
890	3	18	66.8	0.4	159
890	4	24	66.4	-0.4	159
891	1	0	51.3	0	160
891	2	800	63.7	12.4	160
895	1	0	69	0	161
895	2	458	71.5	2.5	161
898	1	0	67.5	0	162
898	2	5	67.3	-0.2	162
898	3	281	67.1	-0.2	162
901	1	0	65.7	0	163
901	2	1036	67.9	2.2	163
903	1	0	50.6	0	164
903	2	64	51.1	0.5	164
905	1	0	67.8	0	165
905	2	73	69.5	1.7	165
905	3	28	70.3	0.8	165
905	4	406	72.1	1.8	165
915	1	0	50	0	166
915	2	22	50	0	166
923	1	0	64.9	0	167
923	2	48	65.7	0.8	167
923	3	35	66.2	0.5	167
923	4	410	68.3	2.1	167
924	1	0	51.8	0	168
924	2	17	51.8	0	168
924	3	11	51.7	-0.1	168
924	4	14	51.6	-0.1	168
924	5	237	52.8	1.2	168
925	1	0	56.3	0	169
925	2	3570	91.5	35.2	169
932	1	0	73.5	0	170
932	2	6	73.2	-0.3	170
932	3	42	73.2	0	170
939	1	0	63.6	0	171
939	2	1341	76.8	13.2	171
940	1	0	59.1	0	172
940	2	1091	60.2	1.1	172
941	1	0	65.1	0	173
941	2	245	64.3	-0.8	173
941	3	63	65	0.7	173
941	4	11	64.9	-0.1	173
941	5	14	65	0.1	173
943	1	0	55.9	0	174
943	2	1540	68	12.1	174
946	1	0	60.1	0	175
946	2	7	60.2	0.1	175
947	1	0	53.3	0	176
947	2	14	53	-0.3	176
948	1	0	72.3	0	177
948	2	14	73	0.7	177
949	1	0	51.3	0	178
949	2	366	51.8	0.5	178
952	1	0	59.2	0	179
952	2	409	62.8	3.6	179
953	1	0	64.3	0	180
953	2	18	64.3	0	180
956	1	0	66.2	0	181
956	2	4	66.2	0	181
967	1	0	60.4	0	182
967	2	1092	70.5	10.1	182
967	3	4	70.6	0.1	182
967	4	3	70.5	-0.1	182
967	5	4	70.2	-0.3	182
972	1	0	67.7	0	183
972	2	362	68.5	0.8	183
973	1	0	52.3	0	184
973	2	680	54.3	2	184
973	3	77	55.7	1.4	184
973	4	340	57.9	2.2	184
973	5	48	58.1	0.2	184
976	1	0	60.8	0	185
976	2	812	60.7	-0.1	185
980	1	0	74.1	0	186
980	2	1068	75.2	1.1	186
981	1	0	70	0	187
981	2	606	74.1	4.1	187
981	3	119	75.8	1.7	187
981	4	1015	81.8	6	187
981	5	1020	82.8	1	187
982	1	0	80.6	0	188
982	2	637	83	2.4	188
982	3	39	82.9	-0.1	188
982	4	77	83.5	0.6	188
982	5	7	83.8	0.3	188
988	1	0	69.3	0	189
988	2	3	69.2	-0.1	189
991	1	0	53.3	0	190
991	2	1811	63.7	10.4	190
991	3	141	64.2	0.5	190
991	4	14	64	-0.2	190
991	5	342	66	2	190
991	6	15	66.4	0.4	190
991	7	7	66	-0.4	190
991	8	228	67.1	1.1	190
992	1	0	50.3	0	191
992	2	126	51	0.7	191
1001	1	0	103.4	0	192
1001	2	366	102.5	-0.9	192
1002	1	0	69	0	193
1002	2	371	72.1	3.1	193
1004	1	0	64.2	0	194
1004	2	7	64.2	0	194
1010	1	0	56.6	0	195
1010	2	848	63.3	6.7	195
1010	3	1	63.7	0.4	195
1015	1	0	62.1	0	196
1015	2	2288	78.8	16.7	196
1015	3	7	80.2	1.4	196
1017	1	0	68.4	0	197
1017	2	308	69	0.6	197
1018	1	0	64.3	0	198
1018	2	195	64.3	0	198
1020	1	0	64.7	0	199
1020	2	4	64.2	-0.5	199
1030	1	0	49.5	0	200
1030	2	74	50	0.5	200
1030	3	237	51.6	1.6	200
1031	1	0	54.9	0	201
1031	2	1153	64.4	9.5	201
1033	1	0	73.8	0	202
1033	2	4	74.2	0.4	202
1035	1	0	58.5	0	203
1035	2	40	58.3	-0.2	203
1038	1	0	47.1	0	204
1038	2	113	47.3	0.2	204
1039	1	0	67.8	0	205
1039	2	28	68.7	0.9	205
1039	3	18	69.2	0.5	205
1039	4	661	75.4	6.2	205
1039	5	11	75.6	0.2	205
1040	1	0	66.9	0	206
1040	2	17	67.1	0.2	206
1044	1	0	63.4	0	207
1044	2	716	66.8	3.4	207
1045	1	0	63.8	0	208
1045	2	560	69.2	5.4	208
1051	1	0	59.4	0	209
1051	2	25	59.5	0.1	209
1052	1	0	71.1	0	210
1052	2	731	74.4	3.3	210
1057	1	0	76.8	0	211
1057	2	17	76	-0.8	211
1057	3	2550	83.5	7.5	211
1062	1	0	56.5	0	212
1062	2	8	56.4	-0.1	212
1070	1	0	59	0	213
1070	2	17	59.2	0.2	213
1074	1	0	78.4	0	214
1074	2	378	81.6	3.2	214
1074	3	682	84.7	3.1	214
1076	1	0	61.7	0	215
1076	2	672	63.9	2.2	215
1076	3	7	61.3	-2.6	215
1096	1	0	66.6	0	216
1096	2	42	66	-0.6	216
1096	3	609	70.2	4.2	216
1097	1	0	69.1	0	217
1097	2	658	71.5	2.4	217
1097	3	689	77	5.5	217
1099	1	0	62.6	0	218
1099	2	71	62.3	-0.3	218
1105	1	0	62.9	0	219
1105	2	17	63	0.1	219
1108	1	0	60.2	0	220
1108	2	42	60.5	0.3	220
1110	1	0	74.7	0	221
1110	2	1076	77.7	3	221
1110	3	13	77.8	0.1	221
1110	4	14	77.9	0.1	221
1110	5	322	78.5	0.6	221
1110	6	7	78.5	0	221
1115	1	0	62.4	0	222
1115	2	49	62.3	-0.1	222
1122	1	0	61.4	0	223
1122	2	359	62	0.6	223
1122	3	357	63.8	1.8	223
1128	1	0	61.9	0	224
1128	2	8	62	0.1	224
1128	3	24	62.3	0.3	224
1128	4	56	63.2	0.9	224
1128	5	1105	68.5	5.3	224
1128	6	286	70	1.5	224
1129	1	0	65.1	0	225
1129	2	1054	71	5.9	225
1143	1	0	59.4	0	226
1143	2	20	58.8	-0.6	226
1143	3	11	58.7	-0.1	226
1143	4	350	61.5	2.8	226
1149	1	0	62.2	0	227
1149	2	3	62.5	0.3	227
1152	1	0	71.8	0	228
1152	2	7	69.8	-2	228
1153	1	0	73.2	0	229
1153	2	4	73.2	0	229
1156	1	0	54.9	0	230
1156	2	6	55.4	0.5	230
1158	1	0	70.9	0	231
1158	2	35	70	-0.9	231
1161	1	0	68.3	0	232
1161	2	35	67.6	-0.7	232
1162	1	0	76	0	233
1162	2	7	76.6	0.6	233
1172	1	0	54.7	0	234
1172	2	409	58.7	4	234
1175	1	0	55.7	0	235
1175	2	34	56.1	0.4	235
1184	1	0	59.8	0	236
1184	2	56	59.6	-0.2	236
1185	1	0	73.7	0	237
1185	2	14	73.1	-0.6	237
1190	1	0	69.9	0	238
1190	2	7	66.8	-3.1	238
1191	1	0	62.1	0	239
1191	2	614	66.5	4.4	239
1208	1	0	78.2	0	240
1208	2	7	77.9	-0.3	240
1213	1	0	76.4	0	241
1213	2	496	77.1	0.7	241
1217	1	0	52.7	0	242
1217	2	20	52.8	0.1	242
1227	1	0	64.4	0	243
1227	2	7	64.3	-0.1	243
1238	1	0	66.8	0	244
1238	2	35	67	0.2	244
1242	1	0	63.1	0	245
1242	2	993	63.9	0.8	245
1246	1	0	57.9	0	246
1246	2	7	58.9	1	246
